Tweet_count,Username,Location,Created At,Likes,Text
1,Hustler,"🇦🇷,🇦🇺",Wed Dec 11 11:26:01 +0000 2024,3366,"""Mom, he won IPL with ₹50L Rahane""😂 https://t.co/uRVTRXw0vp"
2,𝙍`𝙎𝙖𝙢,Rocket Raja Rutu 👑,Tue Dec 10 14:13:31 +0000 2024,375,"""Coming for IPL 2025""👑
Kaththi BGM Edit ft. CONWAY 👑🛐 https://t.co/vk3ua9OYQ2"
3,Cricket ka kachra IPL,,Wed Dec 11 12:46:11 +0000 2024,11,"Fair enough welcome back Sachin Tendulkar 🙏
https://t.co/6nw01kP8hm"
4,Johns,,Tue Dec 10 18:33:36 +0000 2024,2835,"Babar Azam spent 15 minutes adjusting the sight-screen, survived a run-out and still got out for a duck vs 18 yr IPL kid Maphaka.

Imagine being this bad 😭 

#SAvPAK https://t.co/XlcLOVizSm"
5,Vinay,,Tue Dec 10 16:23:59 +0000 2024,971,"As I promised, BHUVI's last 2 years all  IPL Wickets 

Swing king Bhuvi will play for RCB in IPL2025 🔥https://t.co/QU20ckNFrF"
6,Cricbuzz,,Sat Oct 26 14:41:10 +0000 2024,12113,"MS Dhoni will feature in the 2025 edition of the IPL🔥

#ChennaiSuperKings #MSDhoni #t20 https://t.co/AASfGKSQA3"
7,MSDian™,,Tue Dec 10 11:05:07 +0000 2024,2987,"Super flight landed in chennai 🦁🔥

#WhistlePodu #IPL #CSK @MSDhoni
https://t.co/0geV7jjgm8"
8,MAHIYANK™,,Sat May 18 18:39:08 +0000 2024,19613,"If God is Real , He won't let him touch the IPL Trophy. https://t.co/l2sux1EwYI"
9,Punjab Kings,"Punjab, India",Tue Apr 09 17:43:34 +0000 2024,28467,"So close 💔

That was a good game, #OrangeArmy 🤝

#TATAIPL2024 #PBKSvSRH https://t.co/5Kd1tKysrA"
10,03:48,"Hyderabad, India",Tue Dec 10 13:16:04 +0000 2024,630,Suresh Raina first six in ipl @ImRaina https://t.co/CtWuJlwP33
11,Aditya,India,Wed Dec 11 07:03:25 +0000 2024,33,"MS Dhoni all boundaries in IPL 2018
https://t.co/M2QG8q8xPd"
12,IANS,New Delhi,Wed Dec 11 06:53:15 +0000 2024,15,"Bhopal, Madhya Pradesh: When asked, ""How important will it be for Punjab Kings to have Shreyas Iyer join the team?"", Punjab Kings batter Shashank Singh says, ""Yes, it will be very important. Winning an IPL is a big achievement, and Shreyas won the last IPL... He is a very smart https://t.co/yKflNCnzFZ"
13,`,,Wed Dec 11 08:10:27 +0000 2024,1235,"Raina :

Lots of IPL franchises offered me when I was playing for CSK. When I discussed it with Mahi bhai, he told me, 'Tu kahin nahi jayega' (you won't go anywhere).

And he preferred CSK over money 🫡💛 https://t.co/FTUbDQOYAw"
14,Mufaddal Parody,Kohli Era,Sun Nov 24 11:32:47 +0000 2024,41903,"RCB saving their money to Buy IPL Trophy🏆😭😭
#IPLAuction https://t.co/qiGGQOEMIt"
15,Maha,,Thu Dec 05 16:01:37 +0000 2024,1342,"Happy Birthday to the man who hit the most clutch boundary in the history of the IPL and saved millions of us from heartbreak and trauma 

 ""Oh jadejaaaaa.....Never bet against MS Dhoni and CSK"" will be etched in my memory eternally 🙏🏼💛

Forever grateful Sir Ravindra Jadeja https://t.co/648lc0BftZ"
16,IndianPremierLeague,"Mumbai, India",Tue May 30 01:58:23 +0000 2023,70188,"We are not crying, you are 🥹

The Legend continues to grow 🫡

#TATAIPL | #Final | #CSKvGT | @msdhoni | @ChennaiIPL https://t.co/650x9lr2vH"
17,Muhammad Sami,Malaysia,Tue Dec 10 19:12:18 +0000 2024,2715,"The sadness isn’t that Babar Azam got out on a duck, but that the bowler was an IPL player - feels like salt on the wound 🥲

#SAvPAK #BabarAzam 

 https://t.co/fh9VyQnROG"
18,IndianPremierLeague,"Mumbai, India",Fri Mar 08 12:56:01 +0000 2024,14207,"Sound 🔛

It's THAT time of the year 😉 

#TATAIPL starts 22nd March onwards 🗓️ https://t.co/018q7jxlcT"
19,Cricket360,"New Delhi, India",Wed Dec 11 11:43:49 +0000 2024,6,"Mumbai team batting order in SMAT

Rahane 
Shaw
Iyer 
Surya 
Dube
Suryansh(Unknown but see his shots)

Do they have a stronger batting line than many IPL teams ?
https://t.co/Fugefz1O8t"
20,IPL Auction 2025 🧢,,Wed May 15 07:06:33 +0000 2024,26840,"Do you want these type of pics?

Comment your
- Name :
- Number :
- Favourite IPL team :
- Follow @TATAIPL2024Club
- Like and Retweet 

#RCBvsCSK #IPLFinal #IPLPlayoffs https://t.co/ni5JGn9vW2"
21,Pragadees 🇮🇳,India,Wed Dec 11 13:35:01 +0000 2024,8,"Highest Run Scorer in IPL 2022 - 2024 :

- KL Rahul : 1410
- Rohit Sharma : 10717
- Rishab pant : 786

KL Rahul ruled out for some matches due to injury also he has more runs than them, 🔥🔥

But some kids are trolling him for his present bad performance. 💔
#KLRahul #IPL https://t.co/S5MPoRh75P"
22,Lucknow Super Giants,"Lucknow, India",Tue Apr 09 05:45:50 +0000 2024,11552,Pushpa teaser is NOW here 😎🔥 https://t.co/SXHQInVJRD
23,s.v.saravana sundar,India,Wed Dec 11 09:39:51 +0000 2024,12,"Every single time! 😂
Especially during IPL… https://t.co/JjQI63QrHA"
24,Hustler,"🇦🇷,🇦🇺",Fri Dec 06 08:49:12 +0000 2024,4856,"This delivery from Jadeja and that reaction from Marcus stoinis has a separate fanbase!😂💛 @imjadeja
 https://t.co/eL0DvYlwUy"
25,Prakash,Tamil Nadu,Mon Dec 09 17:29:21 +0000 2024,1127,Devon Conway will be available for IPL 2025 https://t.co/VUEJUVZ4xf
26,Sujeet Suman,,Wed Dec 11 13:39:13 +0000 2024,12,"Dinesh Karthik ""I am convinced that Bhuvneshwar Kumar is the best bowler India has after Jasprit Bumrah even today.""

https://t.co/Y0KJEsjztt"
27,Lucknow Super Giants,"Lucknow, India",Tue Apr 16 18:15:24 +0000 2024,76706,"2023: 0*(1) 💥
2024: 0*(0) 💥

Avesh the Finisher 🔥 https://t.co/O1Nmd1IiNP"
28,Chennai Super Kings,"Chepauk, Chennai",Tue Nov 26 14:01:15 +0000 2024,21629,"This summer, yours Anbuden. 🦁💛

#SummerIsComing #UngalAnbuden #WhistlePodu https://t.co/hzGvwk5swa"
29,கந்தவேல் @ கார்த்திக்,"Vellore, India",Wed Dec 11 10:44:21 +0000 2024,11,"Name : #AjinkyaRahane
Hobby : Consistency
27 ball 50 from #Rahane
SUPERB HITTING THIS LAD IS THE KEY PLAYER FOR #KolkataKnightRiders This Season  and also #VenkateshIyer is in fine form and #RinkuSingh also further team to watch in #IPL is #KKR 
#MUMvVID #VIDvMUM #SMAT #SMAT2024 https://t.co/D9rdUc6yTi"
30,Sandeep Phogat,Australia,Tue Nov 26 14:06:06 +0000 2024,42336,"Not even a single cricketer from Bangladesh was acquired in the IPL 2025 auction🔥

Do you support the decision? https://t.co/nMUwxO5ecc"
31,Lucknow Super Giants,"Lucknow, India",Fri Mar 22 09:34:26 +0000 2024,12492,King 👑 https://t.co/apNPHBWzgn
32,`,,Sat Nov 25 11:54:58 +0000 2023,10610,Csk's bus driver Dhandapani has reached more IPL finals than RCB in the last 16 years. https://t.co/DBnxWTvTfc
33,Punjab Kings,"Punjab, India",Wed Sep 18 10:30:24 +0000 2024,12386,"𝐏𝐔𝐍TER is 𝐏𝐔𝐍JAB! 🦁♥️

🚨 Official Statement 🚨
Ricky Ponting joins Punjab Kings as the new Head Coach! 

#RickyPonting #SaddaPunjab #PunjabKings https://t.co/DS9iAHDAu7"
34,Lucknow Super Giants,"Lucknow, India",Tue Aug 06 17:22:14 +0000 2024,35100,"Thank you, 2024 🥹🇮🇳 https://t.co/eg8pBy0ltj"
35,Navjot Singh Sidhu,,Sun Apr 21 19:23:42 +0000 2024,16536,"The law must change for the better …

@imVkohli @IPL https://t.co/cQIWaSxIfc"
36,Lucknow Super Giants,"Lucknow, India",Thu Jun 06 20:11:44 +0000 2024,25543,Okay good night 👋 https://t.co/SJ8NQ0v8Ni
37,Lucknow Super Giants,"Lucknow, India",Mon Nov 25 08:30:22 +0000 2024,6343,Moodboard change sirf 4 dino mein 🇮🇳🙌 https://t.co/iSbTWtlisJ
38,MLB,Pakistan,Mon May 29 21:03:59 +0000 2023,19678,"IPL 2023 Roundup.

#IPL2023Final #GTvCSK https://t.co/qyK8WWVLiu"
39,Lucknow Super Giants,"Lucknow, India",Mon Sep 11 13:13:35 +0000 2023,77994,boys prayed well 👀🙏 https://t.co/eL9kBk1Tog
40,Cricket ka kachra IPL,,Wed Dec 11 13:11:54 +0000 2024,12,"Never beating the 18 allegations 🥹
https://t.co/0kSIPkDKrI"
41,Jyran,INDIA 🇮🇳 ,Mon May 29 20:06:26 +0000 2023,20887,"Rohit Sharma:
10 Years of Captaincy  || 5 Trophies 

MS Dhoni :  
15 Years of Captaincy  || 5 Trophies 

Rohit has never lost an IPL final
Dhoni has lost 4 IPL finals

Rohit has defeated Dhoni 3 times in the final.
Dhoni has never defeated Rohit in the final

The difference is https://t.co/PgvytIZeLF"
42,𝐊𝐫𝐢𝐬𝐡⚡,,Wed Dec 11 12:04:08 +0000 2024,3,"Suryansh Shedge from Mumbai is a player to grab for IPL teams who need finisher

30(8)* when team needed 32 off 12
36(12)* when team needed 60 off 24 in QF

#SMAT

https://t.co/GTnCJveY0e"
43,Chennai Super Kings,"Chepauk, Chennai",Sun Nov 24 16:58:33 +0000 2024,37719,"Yellove Bol. 💛
#UngalAnbuden Ashwin 🦁

#SuperAuction 
@ashwinravi99 https://t.co/drAzxRBt5U"
44,`,,Sat May 18 17:24:41 +0000 2024,20194,"It's all about standards and levels .

  Virat Kohli                     Dhoni &amp; Rohit
after 1 wicket               after 10 IPL titles https://t.co/cCwettw01j"
45,IndianPremierLeague,"Mumbai, India",Fri Mar 22 13:39:10 +0000 2024,5516,"𝙀𝙡𝙚𝙘𝙩𝙧𝙞𝙛𝙮𝙞𝙣𝙜 ⚡️⚡️

Chennai erupts in joy as @akshaykumar leaves his mark at the #TATAIPL Opening Ceremony 🥳 https://t.co/TMuedfuvyU"
46,Chennai Super Kings,"Chepauk, Chennai",Wed Dec 11 05:36:14 +0000 2024,2556,"Smoooooth operator!✨

#WhistlePodu #AUSvIND
📹 : BCCI 
@imjadeja https://t.co/KrendjkiKF"
47,Captain of LSG (RP¹⁷ ),PROUD // INDIAN🇮🇳,Wed Dec 04 08:59:29 +0000 2024,333,"Not a single LSG and Rishabh fan scroll down without retweet and like this tweet!!

This Rishabh is coming in this IPL session!!
#RishabhPant #AUSvsIND
#IPL2025 #LSG #Pooran
https://t.co/ho7XoZBfVj"
48,Lucknow Super Giants,"Lucknow, India",Mon May 29 15:52:05 +0000 2023,39415,"Admin: Well played Sai Sudharsan

Replies: 😂 https://t.co/QQv3FEVmo6"
49,Mufaddal Parody,Kohli Era,Wed Dec 04 02:59:11 +0000 2024,2483,"If Owning CSK is an Art then Virat Kohli is Picasso of it💉✨. 

https://t.co/ZZzv027u6X"
50,Punjab Kings,"Punjab, India",Fri May 10 14:03:44 +0000 2024,30100,"How many times have you watched this reel? 🥹❤️
Admin - Yes.

#SaddaPunjab #PunjabKings #JazbaHaiPunjabi #TATAIPL2024 #PBKSvRCB https://t.co/nOW13UgdkZ"
51,Punjab Kings,"Punjab, India",Sat Apr 22 17:52:19 +0000 2023,79471,"Hey @MumbaiPolice, we'd like to report a crime. 👀 https://t.co/x9FVPbxHzy"
52,Mufaddal Parody,Kohli Era,Wed Dec 04 02:45:41 +0000 2024,623,"For me it's God and King 💉✨

https://t.co/aHd9FJrSi9"
53,Lucknow Super Giants,"Lucknow, India",Tue Apr 23 17:59:27 +0000 2024,53545,MS FINISHES OFF IN STYLE IN CHENNAI! https://t.co/eYw043Z9zs
54,Lucknow Super Giants,"Lucknow, India",Tue Apr 30 11:03:57 +0000 2024,39765,Our No.1 since Day Zero 💙 https://t.co/g6em6OnVEu
55,Lucknow Super Giants,"Lucknow, India",Sat May 18 18:34:49 +0000 2024,106550,Believe 💙 https://t.co/zP680uDBDr
56,Junaid khan,"Yorkshire and The Humber, Engl",Sat Apr 06 15:42:43 +0000 2024,8394,"Congratulations Virat kholi on the slowest 💯 in the history of IPL
#RRvRCB #IPL2024"
57,Kevin,"Chennai, India",Tue Mar 19 08:48:41 +0000 2024,10927,RCB's new jersey of IPL 2024 is inspired by CSK's 2016/17 jersey 😭❤️ https://t.co/eCxVGNDpvt
58,Lucknow Super Giants,"Lucknow, India",Sun May 21 18:38:53 +0000 2023,65163,"Prince? 

He's already a 👑 https://t.co/l7m6USWVGP"
59,𝕶𝖆 🇿🇦 👻🌞,"New York, USA",Tue Dec 10 18:29:36 +0000 2024,658,"Do you know Maphaka is the guy who left ipl due to his school exams .

Zimbabar got out by this kid 🤣🤣🤣
#PakistanCricket ||#SAvPAK https://t.co/AbjsxP7YFl"
60,Royal Challengers Bengaluru,,Sat May 18 19:11:00 +0000 2024,52587,"Look what we made of that 1% chance 🥹

#PlayBold #ನಮ್ಮRCB #IPL2024 #RCBvCSK

 https://t.co/1blwgwHm8p"
61,Kevin,"Chennai, India",Sun Mar 31 15:30:20 +0000 2024,10319,"That's clearly Chucking by pathirana, IPL should take a stand for the spirit of cricket and ban this chucker and CSK from cricket again https://t.co/ShYmd1MI5w"
62,IndianPremierLeague,"Mumbai, India",Tue Dec 19 08:58:19 +0000 2023,12978,"THE BIGGEST IPL BID EVER 😱

HISTORY CREATED here at the #IPLAuction

Australia's World Cup winning captain Pat Cummins is SOLD to @SunRisers for a HISTORIC INR 20.5 Crore 💰💰💰💰

#IPL https://t.co/bpHJjfKwED"
63,Lucknow Super Giants,"Lucknow, India",Sun May 21 18:56:05 +0000 2023,90425,"This man had us on our feet these last two games. An absolute force of nature. 👏

The 🐐 https://t.co/QS3EEvnoUb"
64,S H A H I D. QDK,Qatar 🇶🇦 ,Tue Dec 10 14:30:31 +0000 2024,2441,KKR fans don't hype Narine 2024 enough mane! 490 runs. 180 Sr. 19 Wkts. 6.6 eco. Probably greatest or 2nd greatest campaign in ipl history. 🫡🙌🏻 https://t.co/fq8RtB4Ez8
65,Dr Nimo Yadav Commentary,"Bengaluru, India",Thu Oct 10 02:57:06 +0000 2024,19137,"Ratan Tata was a man who:

- Never bought any IPL team.

- Never sided with any political party.

- Never gave his helicopter to any PM.

- Never exposed by Hindenburg.

- Never spent immense money on a family member’s wedding.

- Never bought any news channels.

He was a man of https://t.co/WG7ewwy60G"
66,Lucknow Super Giants,"Lucknow, India",Sun Mar 24 18:06:03 +0000 2024,51565,Just chilling with our besties tonight 🥲🤝 https://t.co/GeYz94pL9O
67,Lucknow Super Giants,"Lucknow, India",Wed May 24 19:02:03 +0000 2023,45888,Issued in our interest 😅🤝 https://t.co/e1Jn9gWATn
68,Madras Man,"Chicago, IL",Sat Dec 07 11:35:51 +0000 2024,6654,"One good IPL season Nitish Reddy gets Test cap!!
One good IPL season Harshit Rana gets Test cap!!

Even after performing season after season he wasn’t even considered for backup! 

#INDvAUS #AUSvsIND https://t.co/6bhksLLvO7"
69,IPL Auction 2025 🧢,,Sat May 18 03:06:44 +0000 2024,11259,"A new edit for tonight clash 🔥

Ziva and Vamika watching  Virat Kohli vs MS Dhoni ❤️
#RCBvsCSK #IPLplayoffs https://t.co/h8qN8IIANS"
70,Punjab Kings,"Punjab, India",Thu May 09 15:35:10 +0000 2024,10220,"Well played, Virat! 🥲

#PBKSvRCB https://t.co/dSAyDR8TVW"
71,Punjab Kings,"Punjab, India",Wed May 01 17:52:36 +0000 2024,26532,"Done and dusted..🔥

#CSKvPBKS https://t.co/TtkkCgdqFf"
72,Mitchell McClenaghan,,Tue Dec 19 08:49:33 +0000 2023,20461,I will forever never understand the IPL auction 🤣
73,कट्टर KKR समर्थक 🦁🇮🇳 ™,"Kashmir, India",Tue Dec 10 06:36:50 +0000 2024,472,"•RCB fans- How can we win IPL?😭

•RCB management- Let's try to copy KKR again.😂

Their fans call this Mobat guy Genius😹
https://t.co/wP8DBEVBRr"
74,Dhruv,Argentina,Tue Dec 10 03:40:21 +0000 2024,587,"David Miller and Nicholas Pooran will bat together for LSG 💀💀💀

https://t.co/JV5K85LZnd"
75,Rashmika Mandanna,"Coorg, India",Fri Mar 31 15:57:24 +0000 2023,61953,"Doneee with the performanceeee at @IPL and what a blasttt it was 🌸 
I wanted to perform on this as well today but I couldn’t so here’s a lil gift for all of you who have been asking for it…🤍
P.S. My entire IPL journey coming out sooooon 😉

#ThalapathyVijay Sir @SVC_official https://t.co/c0SZ8Z9moG"
76,कट्टर KKR समर्थक 🦁🇮🇳 ™,"Kashmir, India",Tue Dec 10 13:55:13 +0000 2024,394,"Most Dangerous No. 5,6,7 in IPL🦁🔥

•Rinku Singh- 150 SR
•Andre Russell- 170 SR
•Ramandeep Singh- 173 SR

https://t.co/xORDXMlWYY"
77,Shreyas Aryan,Kolkata Trinbago Abu Dhabi LA ,Tue Dec 10 11:25:46 +0000 2024,539,Scenes from KKR headquarters after 2025 IPL Final: https://t.co/Kzz4Q1hJHG
78,Chennai Super Kings,"Chepauk, Chennai",Thu Oct 31 12:01:49 +0000 2024,49004,"Superfans, here's your Diwali Parisu! 🎁💥

An @anirudhofficial Musical ft. IPL Retentions 2025 🥳🎶

 #UngalAnbuden #WhistlePodu 🦁💛 https://t.co/FGTXm52v74"
79,Lucknow Super Giants,"Lucknow, India",Wed May 03 06:00:35 +0000 2023,24055,Let's begin? 😎 https://t.co/HrI0J1vfBF
80,Lucknow Super Giants,"Lucknow, India",Wed May 03 07:07:28 +0000 2023,33302,We don't mind some Yellove at the Ekana 🙄💛 https://t.co/z6bclhMrZu
81,Jyotiba,Maharashtra ,Wed Dec 11 13:16:43 +0000 2024,10,THE SPECIAL FLIGHT FOR CSK IN IPL 2025 🔥 https://t.co/ui7S6DOJDX
82,Vijay Mallya,India,Tue May 21 20:59:16 +0000 2024,72269,"When I bid for the RCB franchise and I bid for Virat, my inner instinct told me that I could not have made better choices. My inner instinct tells me that RCB have the best chance to go for the IPL Trophy. Onward and Upward. Best of luck."
83,Amock_,K'tka,Wed May 22 19:06:31 +0000 2024,11001,"ABP journalist : Congress and AAP are together in Delhi but against each other in Punjab. Isn't it hypocrisy?

Kanhaiya Kumar : Kohli and Rohit play together in World Cup but are against each other in IPL. You have issues with it? 

Destroyed Godi Media in seconds 🔥😂 https://t.co/ph2PVqInrL"
84,J D :),,Thu Dec 05 14:23:00 +0000 2024,1125,"Rutu slowly regaining his form ahead of VHT &amp; IPL 🥶 

https://t.co/JATbUfszNL"
85,Lokesh Saini🚩,"Rajasthan, India",Wed Dec 11 13:37:26 +0000 2024,17,"Rajat Patidar led Madhya Pradesh has qualified for the Semi Final of SMAT.🔥

Captain of RCB in IPL 2025??? https://t.co/eWDWgEyXmk"
86,Avani Gupta🍷,Darjeeling,Tue Dec 10 13:20:17 +0000 2024,20,"The only way Virat Kohli can win the IPL.

#ViratKohli #IPL #CSK https://t.co/kqsqIVmnQo"
87,𝐂𝐑 𝟕™ (Parody),UTOPIA CHEPAUK,Wed Dec 11 08:52:53 +0000 2024,18,Chokli choked ipl with Prime Abd https://t.co/tPMcad4e2Y
88,Vibhor,Strawberry farm,Wed Dec 04 15:05:28 +0000 2024,6404,"For those who don’t know, Noor Ahmad’s bowling action is literally a mirror image of Rashid Khan’s action.

He’s our left handed Rashid Khan. Can’t wait for IPL 2025 😍

#IPL2025 https://t.co/WdjwEItYc2"
89,V I P E R,Loading... ,Tue May 21 07:00:35 +0000 2024,14706,"If RCB won their 1st IPL trophy , 3rd emoji is your reaction ! https://t.co/IW6vgugbYX"
90,Mustafizur Rahman,"Dhaka, Bangladesh",Tue Mar 19 05:06:52 +0000 2024,19220,"Excited and Looking forward to my new assignment. Heading to Chennai for IPL 2024. Keep me in your prayers so that I can deliver my best.

#WhistlePodu #Yellove 🦁💛 https://t.co/mMS56cp38T"
91,Mohammad Kaif,India,Mon Apr 22 08:14:40 +0000 2024,8242,Virat's decision yesterday was disappointing. Umpiring in general has been a let down in IPL 2024. #KKRvRCB #ViratKohli https://t.co/Ng7SH4fENS
92,Rajesh Tweets,,Tue Dec 10 11:37:28 +0000 2024,24,"After 2018, Ruturaj was the only Indian player CSK groomed from his starting of the IPL career. All the other players in the CSK squad are bought in Auctions.

If this continues CSK will not have any single player in the Indian team."
93,JAISH 𝕏,,Tue Dec 10 07:12:36 +0000 2024,837,"Remember when Jos Buttler destroyed KKR Single-handedly!!

At the end of 17 over RR needed 46 runs in 3 overs and 8 wickets already down.

Kkr was going to win easily but Jos Buttler had other Plans,
Kkr will remember this defeat in his entire existence. https://t.co/pHd0FtmOdJ"
94,Lucknow Super Giants,"Lucknow, India",Thu Apr 11 17:30:00 +0000 2024,43090,"Bowls at 157, strikes at 200+

Mayank Yadav what a player 😍😂 https://t.co/BxwMrYpoDD"
95,Wait,Home,Sat Jan 20 18:03:49 +0000 2024,11029,"Back then they used to treat us like this, but fir IPL happened. @harbhajan_singh https://t.co/3MKXXy3hWC"
96,Punjab Kings,"Punjab, India",Tue Apr 09 14:27:29 +0000 2024,12165,"Left-arm pacers 🔥

#TATAIPL2024 #PBKSvSRH https://t.co/9z7QRpSqat"
97,Royal Challengers Bengaluru,,Thu Oct 31 13:01:32 +0000 2024,9948,"“𝐀𝐭 𝐭𝐡𝐞 𝐞𝐧𝐝 𝐨𝐟 𝐭𝐡𝐢𝐬 𝟑-𝐲𝐞𝐚𝐫 𝐜𝐲𝐜𝐥𝐞 𝐢𝐭 𝐰𝐢𝐥𝐥 𝐛𝐞 𝟐𝟎 𝐲𝐞𝐚𝐫𝐬 𝐚𝐭 𝐑𝐂𝐁 𝐚𝐧𝐝 𝐭𝐡𝐚𝐭 𝐢𝐭𝐬𝐞𝐥𝐟 𝐢𝐬 𝐚 𝐯𝐞𝐫𝐲 𝐬𝐩𝐞𝐜𝐢𝐚𝐥 𝐟𝐞𝐞𝐥𝐢𝐧𝐠.”

King Kohli expresses his feelings and aspirations for the upcoming IPL ahead of the Mega Auction https://t.co/aKZEv8mtYf"
98,𝐀𝐚𝐫𝐚𝐯𝐌𝐒𝐃𝐢𝐚𝐧™,,Wed Dec 11 06:50:23 +0000 2024,24,Drop Your 3 Favourite players From Any Ipl Team https://t.co/geqA8aUo5M
99,Ashley (Molly),"Bengaluru,Bharat",Mon Dec 09 23:37:55 +0000 2024,482,"12.
IPL Participation https://t.co/H9AaPefVig"
100,Punjab Kings,"Punjab, India",Wed May 03 13:04:03 +0000 2023,17414,"Leaked training image! 😅

#PBKSvMI https://t.co/zaFzTCx8Ic"
101,Kriti Singh,,Tue Dec 03 15:36:06 +0000 2024,763,"Value of Babar Azam in IPL Auction 😂

https://t.co/EIr7PynOBA"
102,Vipin Tiwari,Cover Drive Avenue,Wed Dec 11 13:24:17 +0000 2024,5,"Netravalkar Said “Firstly, grateful for getting shortlisted in the IPL final auction list. Yes, the child in me had hopes for sure! But, it was a high-quality player pool with so many top players also failing to make the cut, so I completely understand,""

 https://t.co/HHbeA4VHnr"
103,Punjab Kings,"Punjab, India",Tue Dec 10 04:40:43 +0000 2024,403,"Pressure? What pressure? 😉

#PunjabKings #SaddaPunjab https://t.co/bOvOwgaISZ"
104,Nicky,"Tamil Nadu, India",Fri Nov 15 10:11:13 +0000 2024,14565,"10 players CSK will target in this upcoming IPL auction 

A Thread 🧵 https://t.co/yNi1H4vibx"
105,Rajasthan Royals,"Jaipur, India",Thu Apr 06 17:04:45 +0000 2023,20750,Welcome to IPL (Yuzi style) Roooot! 😂💗 https://t.co/bI4rPoRHSE
106,Sachin Tendulkar,"ÜT: 18.986431,72.823769",Tue May 30 04:12:12 +0000 2023,106418,"What a finish to one of the most enthralling @IPL seasons ever! Both @ChennaiIPL and @gujarat_titans fought fiercely, but Chennai's batting depth proved to be the winning factor, just as I had mentioned. 

Choosing a winner was no easy task given the exceptional performances by https://t.co/ZoKh4SnKVJ"
107,Sujeet Suman,,Fri Dec 06 08:13:59 +0000 2024,437,"Nitish Reddy is what a gem of a talent for India.All thanks to Pat Cummins for backing him in the IPL for all the matches.

He looks serious talent with the bat.
https://t.co/x2ffpen2mc"
108,Punjab Kings,"Punjab, India",Tue Dec 10 13:51:57 +0000 2024,277,"𝑷𝒐𝒆𝒕𝒓𝒚 𝒊𝒏 𝒎𝒐𝒕𝒊𝒐𝒏 ❤️

#ArshdeepSingh #SaddaPunjab #PunjabKings https://t.co/aBiWXUF8vc"
109,ಬೆಂಗಳೂರು ನಗರ ಪೊಲೀಸ್‌ BengaluruCityPolice,"Bengaluru, India",Sat May 18 14:12:50 +0000 2024,10077,"Nice try, Buddy! 🏏 But attempting to breach security during #IPL is a guaranteed six straight into our custody. Sorry, mate, you're stumped! 

#RCBvsCSK #WeServeWeProtect https://t.co/Dj4sMXq9jt"
110,Punjab Kings,"Punjab, India",Sun Apr 28 18:07:22 +0000 2024,24453,"Alappara kelapparom on wednesday, @ChennaiIPL! 🤜🤛🔥 https://t.co/XdRv9QT6jd"
111,Gaurav,,Tue Dec 10 14:04:38 +0000 2024,13,"His range of shots in IPL 2024🥶
https://t.co/E0hQ5s3vnR"
112,Tamil Nadu Aviation,,Tue Dec 10 11:25:17 +0000 2024,481,Maiden arrival of #EtihadAirways with CSK themed livery in our #Chennai. It flies 21 times a week between #AbuDhabi and #Chennai. #ChennaiSuperKings #CSK #CSKFans @ChennaiIPL @etihad @CSKFansOfficial @IPL @msdhoni https://t.co/YLB2HTNmjw
113,IndianPremierLeague,"Mumbai, India",Thu Mar 30 10:27:31 +0000 2023,18063,"Game Face 🔛

ARE. YOU. READY for #TATAIPL 2023❓ https://t.co/eS5rXAavTK"
114,Johns.,"Kerala, India",Wed Dec 11 06:36:55 +0000 2024,7648,THE SPECIAL FLIGHT FOR CSK IN IPL 2025 💛 https://t.co/TzliGKaMTy
115,Lucknow Super Giants,"Lucknow, India",Tue Dec 10 17:33:08 +0000 2024,2027,"David Miller, breathtaking 🫡 https://t.co/5OqIBzjTYz"
116,10 News First,Australia,Mon Dec 09 07:05:04 +0000 2024,26,"Josh Hazlewood looks on track to return for the Brisbane Test after bowling at close to full pace on the Adelaide Oval today. He's also gone into bat for IPL teammate Mohammed Siraj, after his fiery stoush with Travis Head | @CricketAus @LucasRinaldo_ https://t.co/nSfuNx7hD7"
117,IndianPremierLeague,"Mumbai, India",Thu Mar 21 10:17:08 +0000 2024,45550,"Presenting @ChennaiIPL's Captain - @Ruutu1331 🙌🙌

#TATAIPL https://t.co/vt77cWXyBI"
118,Team Juhi Chawla,Worldwide ,Fri Dec 06 18:27:38 +0000 2024,69,"Simply Beautiful Juhi Chawla @iam_juhi mam about the  experiencing the warm hospitality in Saudia Arabia During her recent visit to Jeddah for the IPL auctions..❤️❤️
 #JuhiChawla #juhichawlamehta #SaudiArabia #Jeddah #IPLAuctions https://t.co/H40IYiF9OE"
119,Aviral Bhatnagar,aviral@ajuniorvc.com,Sat May 27 07:52:31 +0000 2023,12786,"New India:

- Uber driver
- Watching IPL live
- Flawless streaming
- Tuned into Jio Cinema
- TV added in a low-priced car

We don't appreciate how incredible this in a ""developing"" country

India tech is transforming employment, entertainment and comfort https://t.co/S77I9l1Pyw"
120,The Analyzer (News Updates🗞️),90K?,Wed Nov 27 01:29:39 +0000 2024,11284,"Lalit Modi accuses Srinivasan of UMPIRE FIXING in IPL:
1. Srini anyhow wanted Flintoff in CSK. He was BCCI Sec. We asked all other teams not to bid for him.

2. Srini changed the umpires. He appointed Chennai Umpires in the matches of Chennai Super Kings🤯 
🎥: Raj Shamani YT https://t.co/Z610hckBqD"
